Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (512, 512)
可视化样本数: 432
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.6483
IoU: 0.4941
F1分数: 0.6483
精确率: 0.6284
召回率: 0.6798
==================================================

各样本详细指标:
--------------------------------------------------
样本 001: Dice=0.589, IoU=0.418, F1=0.589, Precision=0.701, Recall=0.508
样本 002: Dice=0.799, IoU=0.665, F1=0.799, Precision=0.781, Recall=0.817
样本 003: Dice=0.689, IoU=0.525, F1=0.689, Precision=0.647, Recall=0.737
样本 004: Dice=0.698, IoU=0.536, F1=0.698, Precision=0.683, Recall=0.713
样本 005: Dice=0.586, IoU=0.414, F1=0.586, Precision=0.547, Recall=0.630
样本 006: Dice=0.614, IoU=0.443, F1=0.614, Precision=0.611, Recall=0.617
样本 007: Dice=0.666, IoU=0.499, F1=0.666, Precision=0.635, Recall=0.700
样本 008: Dice=0.624, IoU=0.454, F1=0.624, Precision=0.593, Recall=0.659
样本 009: Dice=0.645, IoU=0.476, F1=0.645, Precision=0.651, Recall=0.640
样本 010: Dice=0.726, IoU=0.570, F1=0.726, Precision=0.689, Recall=0.767
样本 011: Dice=0.644, IoU=0.475, F1=0.644, Precision=0.726, Recall=0.578
样本 012: Dice=0.000, IoU=0.000, F1=0.000, Precision=0.000, Recall=0.000
样本 013: Dice=0.570, IoU=0.398, F1=0.570, Precision=0.619, Recall=0.527
样本 014: Dice=0.791, IoU=0.654, F1=0.791, Precision=0.807, Recall=0.775
样本 015: Dice=0.518, IoU=0.350, F1=0.518, Precision=0.560, Recall=0.482
样本 016: Dice=0.681, IoU=0.516, F1=0.681, Precision=0.636, Recall=0.732
样本 017: Dice=0.634, IoU=0.464, F1=0.634, Precision=0.627, Recall=0.641
样本 018: Dice=0.557, IoU=0.386, F1=0.557, Precision=0.589, Recall=0.529
样本 019: Dice=0.762, IoU=0.615, F1=0.762, Precision=0.803, Recall=0.725
样本 020: Dice=0.693, IoU=0.531, F1=0.693, Precision=0.690, Recall=0.697
样本 021: Dice=0.734, IoU=0.580, F1=0.734, Precision=0.682, Recall=0.794
样本 022: Dice=0.758, IoU=0.611, F1=0.758, Precision=0.682, Recall=0.855
