Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (1024, 1024)
可视化样本数: 108
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.5693
IoU: 0.4041
F1分数: 0.5693
精确率: 0.5385
召回率: 0.6090
==================================================

各样本详细指标:
--------------------------------------------------
样本 001: Dice=0.654, IoU=0.486, F1=0.654, Precision=0.592, Recall=0.730
样本 002: Dice=0.539, IoU=0.369, F1=0.539, Precision=0.469, Recall=0.634
样本 003: Dice=0.566, IoU=0.395, F1=0.566, Precision=0.459, Recall=0.737
样本 004: Dice=0.534, IoU=0.364, F1=0.534, Precision=0.520, Recall=0.548
样本 005: Dice=0.543, IoU=0.373, F1=0.543, Precision=0.490, Recall=0.608
样本 006: Dice=0.487, IoU=0.322, F1=0.487, Precision=0.453, Recall=0.527
样本 007: Dice=0.700, IoU=0.539, F1=0.700, Precision=0.627, Recall=0.793
样本 008: Dice=0.460, IoU=0.299, F1=0.460, Precision=0.440, Recall=0.482
样本 009: Dice=0.647, IoU=0.478, F1=0.647, Precision=0.621, Recall=0.675
样本 010: Dice=0.508, IoU=0.341, F1=0.508, Precision=0.492, Recall=0.526
样本 011: Dice=0.657, IoU=0.489, F1=0.657, Precision=0.597, Recall=0.730
样本 012: Dice=0.512, IoU=0.344, F1=0.512, Precision=0.499, Recall=0.526
样本 013: Dice=0.473, IoU=0.310, F1=0.473, Precision=0.449, Recall=0.499
样本 014: Dice=0.546, IoU=0.375, F1=0.546, Precision=0.523, Recall=0.570
样本 015: Dice=0.632, IoU=0.462, F1=0.632, Precision=0.591, Recall=0.679
样本 016: Dice=0.648, IoU=0.479, F1=0.648, Precision=0.587, Recall=0.723
样本 017: Dice=0.670, IoU=0.503, F1=0.670, Precision=0.649, Recall=0.691
样本 018: Dice=0.537, IoU=0.367, F1=0.537, Precision=0.500, Recall=0.580
样本 019: Dice=0.488, IoU=0.322, F1=0.488, Precision=0.442, Recall=0.544
样本 020: Dice=0.571, IoU=0.400, F1=0.571, Precision=0.547, Recall=0.598
样本 021: Dice=0.621, IoU=0.450, F1=0.621, Precision=0.579, Recall=0.669
样本 022: Dice=0.472, IoU=0.309, F1=0.472, Precision=0.472, Recall=0.472
样本 023: Dice=0.418, IoU=0.264, F1=0.418, Precision=0.434, Recall=0.403
样本 024: Dice=0.578, IoU=0.406, F1=0.578, Precision=0.581, Recall=0.574
样本 025: Dice=0.680, IoU=0.515, F1=0.680, Precision=0.603, Recall=0.778
样本 026: Dice=0.634, IoU=0.464, F1=0.634, Precision=0.610, Recall=0.659
样本 027: Dice=0.639, IoU=0.469, F1=0.639, Precision=0.592, Recall=0.693
样本 028: Dice=0.605, IoU=0.434, F1=0.605, Precision=0.569, Recall=0.646
样本 029: Dice=0.740, IoU=0.587, F1=0.740, Precision=0.652, Recall=0.855
样本 030: Dice=0.372, IoU=0.228, F1=0.372, Precision=0.284, Recall=0.539
样本 031: Dice=0.392, IoU=0.244, F1=0.392, Precision=0.376, Recall=0.411
样本 032: Dice=0.601, IoU=0.429, F1=0.601, Precision=0.538, Recall=0.680
样本 033: Dice=0.477, IoU=0.313, F1=0.477, Precision=0.497, Recall=0.458
